,customer_id,customer_last_name,customer_district,customer_city,customer_country,category_name,release_year,rating,language,cluster
0,431.0,Francisco,Chuquisaca,Sucre,Bolivia,Documentary,2006,PG,English             ,1904
1,518.0,Harder,Sivas,Sivas,Turkey,Documentary,2006,PG,English             ,1428
2,279.0,Shelton,East Azerbaidzan,Tabriz,Iran,Documentary,2006,PG,English             ,112
3,411.0,Currier,West Java,Cianjur,Indonesia,Documentary,2006,PG,English             ,850
4,170.0,Arnold,Rajasthan,Udaipur,India,Documentary,2006,PG,English             ,244
5,161.0,Perkins,Tel Aviv,Tel Aviv-Jaffa,Israel,Documentary,2006,PG,English             ,1770
6,581.0,Wofford,Guerrero,Jos Azueta,Mexico,Documentary,2006,PG,English             ,66
7,359.0,Markham,Buenos Aires,Almirante Brown,Argentina,Documentary,2006,PG,English             ,1437
8,39.0,Nelson,Esprito Santo,Vila Velha,Brazil,Documentary,2006,PG,English             ,850
9,541.0,Windham,Toscana,Livorno,Italy,Documentary,2006,PG,English             ,150
10,301.0,Baughman,Kaliningrad,Kaliningrad,Russian Federation,Documentary,2006,PG,English             ,1522
11,344.0,Billingsley,Tongatapu,Nukualofa,Tonga,Documentary,2006,PG,English             ,501
13,587.0,Stanfield,Guanajuato,Celaya,Mexico,Documentary,2006,PG,English             ,1252
14,597.0,Duggan,Piura,Sullana,Peru,Documentary,2006,PG,English             ,501
15,44.0,Turner,Lipetsk,Lipetsk,Russian Federation,Documentary,2006,PG,English             ,697
16,252.0,Hoffman,England,London,United Kingdom,Documentary,2006,PG,English             ,1382
17,554.0,Olvera,Gujarat,Rajkot,India,Documentary,2006,PG,English             ,942
18,345.0,Artis,Central,San Lorenzo,Paraguay,Documentary,2006,PG,English             ,1869
19,406.0,Runyon,St Thomas,Charlotte Amalie,"Virgin Islands, U.S.",Documentary,2006,PG,English             ,1324
20,487.0,Poindexter,Stavropol,Pjatigorsk,Russian Federation,Documentary,2006,PG,English             ,1784
21,92.0,Simmons,Gois,Goinia,Brazil,Documentary,2006,PG,English             ,66
22,8.0,Wilson,Hamilton,Hamilton,New Zealand,Documentary,2006,PG,English             ,933
23,34.0,Scott,Okayama,Kurashiki,Japan,Documentary,2006,PG,English             ,112
24,271.0,Neal,Tamil Nadu,Kumbakonam,India,Horror,2006,G,English             ,1109
25,366.0,Huey,Balikesir,Balikesir,Turkey,Horror,2006,G,English             ,1803
26,145.0,Holmes,Gauteng,Soshanguve,South Africa,Horror,2006,G,English             ,78
27,82.0,Coleman,Krim,Simferopol,Ukraine,Horror,2006,G,English             ,1444
28,139.0,Dixon,Ynlin,Touliu,Taiwan,Horror,2006,G,English             ,379
29,180.0,Cunningham,Risaralda,Pereira,Colombia,Horror,2006,G,English             ,513
30,533.0,Milam,Shandong,Binzhou,China,Horror,2006,G,English             ,1415
31,224.0,Garza,Rajasthan,Jodhpur,India,Documentary,2006,NC-17,English             ,818
32,417.0,Estep,al-Sharqiya,al-Qatif,Saudi Arabia,Documentary,2006,NC-17,English             ,597
33,247.0,Moreno,Mxico,Coacalco de Berriozbal,Mexico,Documentary,2006,NC-17,English             ,435
34,269.0,Walters,California,Salinas,United States,Documentary,2006,NC-17,English             ,435
35,25.0,Walker,Sind,Shikarpur,Pakistan,Documentary,2006,NC-17,English             ,532
36,100.0,Hayes,Lipetsk,Jelets,Russian Federation,Documentary,2006,NC-17,English             ,1759
37,277.0,Jimenez,Oyo & Osun,Ogbomosho,Nigeria,Documentary,2006,NC-17,English             ,461
38,1.0,Smith,Nagasaki,Sasebo,Japan,Documentary,2006,NC-17,English             ,1291
39,65.0,Howard,Cayenne,Cayenne,French Guiana,Documentary,2006,NC-17,English             ,318
40,147.0,Robertson,Saitama,Urawa,Japan,Documentary,2006,NC-17,English             ,762
41,316.0,Curley,Maharashtra,Miraj,India,Documentary,2006,NC-17,English             ,1859
42,178.0,Snyder,So Paulo,Santa Brbara dOeste,Brazil,Documentary,2006,NC-17,English             ,762
43,184.0,Ruiz,Noord-Brabant,s-Hertogenbosch,Netherlands,Horror,2006,G,English             ,893
44,268.0,Soto,Kerala,Palghat (Palakkad),India,Horror,2006,G,English             ,661
45,560.0,Archuleta,Buenos Aires,Avellaneda,Argentina,Horror,2006,G,English             ,443
46,150.0,Daniels,Michoacn de Ocampo,Hidalgo,Mexico,Horror,2006,G,English             ,1647
47,197.0,Peters,Jiangsu,Changzhou,China,Horror,2006,G,English             ,306
48,302.0,Silverman,Liaoning,Tiefa,China,Horror,2006,G,English             ,1613
49,418.0,East,Puerto Plata,San Felipe de Puerto Plata,Dominican Republic,Horror,2006,G,English             ,513
50,151.0,Palmer,Shandong,Laiwu,China,Horror,2006,G,English             ,1109
51,148.0,Hunt,Saint-Denis,Saint-Denis,Runion,Horror,2006,G,English             ,1248
52,216.0,Meyer,Gois,Aparecida de Goinia,Brazil,Horror,2006,G,English             ,641
53,459.0,Collazo,Esfahan,Qomsheh,Iran,Horror,2006,G,English             ,78
54,239.0,Romero,West Java,Ciomas,Indonesia,Horror,2006,G,English             ,1342
55,111.0,Owens,Distrito Federal,Caracas,Venezuela,Horror,2006,G,English             ,29
56,261.0,Byrd,Cagayan Valley,Tuguegarao,Philippines,Horror,2006,G,English             ,647
57,24.0,Lee,Crdoba,Crdoba,Argentina,Horror,2006,G,English             ,1235
58,73.0,Brooks,Chiayi,Chiayi,Taiwan,Horror,2006,G,English             ,443
59,397.0,Schrader,Krasnojarsk,Atinsk,Russian Federation,Horror,2006,G,English             ,641
60,66.0,Ward,Skne ln,Malm,Sweden,Horror,2006,G,English             ,1342
61,501.0,Geary,Lubelskie,Lublin,Poland,Horror,2006,G,English             ,78
62,111.0,Owens,Distrito Federal,Caracas,Venezuela,Horror,2006,G,English             ,29
63,562.0,Slone,Sokoto & Kebbi & Zam,Sokoto,Nigeria,Horror,2006,G,English             ,893
64,449.0,Aquino,Kerman,Sirjan,Iran,Horror,2006,G,English             ,1475
65,464.0,Kenyon,OHiggins,Rancagua,Chile,Horror,2006,G,English             ,1248
66,106.0,Wallace,Ivanovo,Ivanovo,Russian Federation,Family,2006,G,English             ,1327
67,489.0,Meador,Okayama,Okayama,Japan,Family,2006,G,English             ,648
68,438.0,Lovelace,Copperbelt,Kitwe,Zambia,Family,2006,G,English             ,585
69,566.0,Mena,Tokat,Tokat,Turkey,Family,2006,G,English             ,636
70,336.0,Mark,Uttar Pradesh,Rampur,India,Family,2006,G,English             ,636
